,<CONFIDENTIAL>,,,,,,,,,,,,
Normalized Fluorescence signal from 1000-1200 nm,,,,,,Maximum emission cross section,,,,,,,
,LG-770,LG-760,LG-750,APG-1,,LG-770,LG-760,LG-750,APG-1,,,,Prepared by Dr. Tedi-Marie Usher-Ditzian
Wavelength,Normalized,Normalized,Normalized,Normalized,,_em ,_em ,_em ,_em ,,,,SCHOTT R&D North America
l [nm],"Signal, FC(l)","Signal, FC(l)","Signal, FC(l)","Signal, FC(l)",,[10-20 cm2],[10-20 cm2],[10-20 cm2],[10-20 cm2],,,,"Oct 4th, 2021"
1017.625,0.00213959,-0.001770539,0.001080128,0.003386101,,,,,,,,,
1017.75,0.000892717,0.002089009,-0.000241142,0.001158622,,,,,,,,,
1017.875,0.00338401,0.003741849,0.002397716,0.003383042,,,,,,,,,
1018,0.000891083,0.002636302,0.002396488,0.003381512,,,,,,,,,
1018.125,0.002759348,0.000427401,0.005695367,-0.005528681,,,,,,,,,
1018.25,0.000889448,0.001528563,0.002394033,0.004120436,,,,,,,,,
1018.375,0.002757714,-0.000128661,0.002392806,0.000406558,,,,,,,,,
1018.5,0.000887814,0.000972501,0.002391579,0.003375394,,,,,,,,,
1018.625,0.000263969,0.000418632,-0.000249733,0.002631881,,,,,,,,,
1018.75,-0.000359875,0.002623149,0.003709167,0.001888368,,,,,,,,,
1018.875,-0.00098372,0.002620956,0.002387897,0.001886838,,,,,,,,,
1019,0.003376655,0.004273796,0.001726647,0.00039891,,,,,,,,,
1019.125,0.004621893,-0.000141814,0.00172542,0.00039738,,,,,,,,,
1019.25,0.006490158,0.003717734,0.001724193,0.001140266,,,,,,,,,
1019.375,0.000259066,0.000957156,-0.000917119,0.004106669,,,,,,,,,
1019.5,0.002127331,0.002058317,0.000401696,0.00410514,,,,,,,,,
1019.625,0.000880458,0.000952771,0.003040554,0.004848026,,,,,,,,,
1019.75,0.001502669,0.003708965,0.003699348,0.000389732,,,,,,,,,
1019.875,0.000878824,0.003706773,0.004358141,0.004100551,,,,,,,,,
1020,0.003993146,0.002049548,0.00237685,0.001873072,,,,,,,,,
1020.125,0.003992329,0.002047356,0.003035644,0.000385143,,,,,,,,,
1020.25,0.00648362,0.001493487,0.008314587,0.001870013,,,,,,,,,
1020.375,0.002121611,0.002594649,0.004353232,0.006322815,,,,,,,,,
1020.5,0.005235929,0.004247489,0.004352005,0.001866953,,,,,,,,,
1020.625,0.002743004,0.005900327,0.004350777,0.004091373,,,,,,,,,
1020.75,0.005234294,0.002588073,0.001709464,0.001863894,,,,,,,,,
1020.875,0.004610451,0.004240912,0.004348323,-0.001108001,,,,,,,,,
1021,0.001494497,0.003135365,0.003027053,0.005573183,,,,,,,,,
1021.125,0.003362762,0.001478142,0.003685847,0.004085255,,,,,,,,,
1021.25,0.002738917,0.001475949,0.003684619,0.005570124,,,,,,,,,
1021.375,-0.000377037,0.003128789,0.005003436,0.007052561,,,,,,,,,
1021.5,-0.000377854,0.002574919,-0.000277963,0.004080666,,,,,,,,,
1021.625,0.002113438,0.005331113,0.003680937,0.007049502,,,,,,,,,
1021.75,0.000243538,0.005880597,0.004999754,0.005564006,,,,,,,,,
1021.875,0.002111804,0.002016665,0.005658546,0.005562476,,,,,,,,,
1022,0.00398007,0.003669505,0.006317338,0.004074547,,,,,,,,,
1022.125,0.000864114,0.005322344,0.004996072,0.004817434,,,,,,,,,
1022.25,0.001486324,0.000906734,0.004334822,0.004071488,,,,,,,,,
1022.375,0.002731562,0.001456219,0.003673573,0.004814374,,,,,,,,,
1022.5,0.002107717,0.003109059,0.00499239,0.006296811,,,,,,,,,
1022.625,0.005222036,0.002555189,0.002351076,0.007779248,,,,,,,,,
1022.75,0.004598193,0.001449642,0.004329912,0.005551769,,,,,,,,,
1022.875,0.00584343,0.003102482,0.004988708,0.002579874,,,,,,,,,
1023,0.007711696,0.003651967,0.007627564,0.00406231,,,,,,,,,
1023.125,0.006464823,0.003649775,0.006966315,0.008515112,,,,,,,,,
1023.25,0.003971898,0.005302614,0.005645045,0.009257999,,,,,,,,,
1023.375,0.003348052,0.00364539,0.006303838,0.00777007,,,,,,,,,
1023.5,0.004593289,0.00529823,0.007622654,0.007026557,,,,,,,,,
1023.625,0.003346417,0.006951069,0.004321321,0.008508994,,,,,,,,,
1023.75,0.005214681,0.004190491,0.004980116,0.005539532,,,,,,,,,
